"","samp_date","samp_ev","exp","rep","Group","type","shp","sa","la","wi","counts","pres_fact","vol_set_ml","n_bugs","time_d","mag","propCntd"
"101",2019-07-23,"SJR1","site","N/A","chlorophyte","colonial","sph",24,24,NA,0,0.901,21,24,1,"100x",1
"102",2019-07-25,"SJR1","FC","1","chlorophyte","colonial","sph",24,24,NA,0,0.919,18,24,1,"100x",0.89
"103",2019-07-25,"SJR1","T24","1","chlorophyte","colonial","sph",24,24,NA,0,0.918,22,24,1,"100x",1
"104",2019-07-25,"SJR1","FC","2","chlorophyte","colonial","sph",24,24,NA,0,0.917,22.5,24,1,"100x",0.55
"105",2019-07-25,"SJR1","T24","2","chlorophyte","colonial","sph",24,24,NA,0,0.917,22,24,1,"100x",1
"106",2019-07-25,"SJR1","FC","3","chlorophyte","colonial","sph",24,24,NA,2,0.917,25,24,1,"100x",0.6
"107",2019-07-25,"SJR1","T24","3","chlorophyte","colonial","sph",24,24,NA,0,0.906,25,24,1,"100x",1
"108",2019-07-24,"SJR1","IC","1","chlorophyte","colonial","sph",24,24,NA,0,0.909,25,24,1,"100x",1
"109",2019-07-24,"SJR1","IC","2","chlorophyte","colonial","sph",24,24,NA,0,0.911,25,24,1,"100x",1
"110",2019-07-24,"SJR1","IC","3","chlorophyte","colonial","sph",24,24,NA,0,0.909,28,24,1,"100x",1
"111",2019-09-17,"YBP2","site","N/A","chlorophyte","colonial","sph",24,24,NA,6,0.895,15,24,1,"100x",0.73
"112",2019-09-19,"YBP2","FC","1","chlorophyte","colonial","sph",24,24,NA,0,0.914,5,24,1,"100x",1
"113",2019-09-19,"YBP2","T24","1","chlorophyte","colonial","sph",24,24,NA,0,0.911,8.5,24,1,"100x",1
"114",2019-09-19,"YBP2","FC","2","chlorophyte","colonial","sph",24,24,NA,0,0.915,9,24,1,"100x",1
"115",2019-09-19,"YBP2","T24","2","chlorophyte","colonial","sph",24,24,NA,0,0.917,8,24,1,"100x",1
"116",2019-09-19,"YBP2","FC","3","chlorophyte","colonial","sph",24,24,NA,3,0.924,15,24,1,"100x",1
"117",2019-09-19,"YBP2","T24","3","chlorophyte","colonial","sph",24,24,NA,0,0.922,15,24,1,"100x",1
"118",2019-09-18,"YBP2","IC","1","chlorophyte","colonial","sph",24,24,NA,4,0.914,20,24,1,"100x",0.5
"119",2019-09-18,"YBP2","IC","2","chlorophyte","colonial","sph",24,24,NA,0,0.912,17,24,1,"100x",0.78
"120",2019-09-18,"YBP2","IC","3","chlorophyte","colonial","sph",24,24,NA,0,0.919,20,24,1,"100x",0.6
"121",2019-09-03,"SJR2","site","N/A","chlorophyte","colonial","sph",32,32,NA,0,0.889,18,24,1,"100x",1
"122",2019-09-05,"SJR2","FC","1","chlorophyte","colonial","sph",32,32,NA,0,0.915,25,24,1,"100x",1
"123",2019-09-05,"SJR2","T24","1","chlorophyte","colonial","sph",32,32,NA,0,0.915,25,24,1,"100x",1
"124",2019-09-05,"SJR2","FC","2","chlorophyte","colonial","sph",32,32,NA,0,0.914,25,24,1,"100x",1
"125",2019-09-05,"SJR2","T24","2","chlorophyte","colonial","sph",32,32,NA,0,0.919,25,24,1,"100x",1
"126",2019-09-05,"SJR2","FC","3","chlorophyte","colonial","sph",32,32,NA,0,0.918,25,24,1,"100x",1
"127",2019-09-05,"SJR2","T24","3","chlorophyte","colonial","sph",32,32,NA,0,0.917,25,24,1,"100x",1
"128",2019-09-04,"SJR2","IC","1","chlorophyte","colonial","sph",32,32,NA,0,0.915,25,24,1,"100x",1
"129",2019-09-04,"SJR2","IC","2","chlorophyte","colonial","sph",32,32,NA,0,0.919,25,24,1,"100x",1
"130",2019-09-04,"SJR2","IC","3","chlorophyte","colonial","sph",32,32,NA,0,0.917,25,24,1,"100x",1
"131",2019-07-30,"YBP1","site","N/A","chlorophyte","colonial","sph",32,32,NA,0,0.898,16,24,1,"100x",1
"132",2019-08-01,"YBP1","FC","1","chlorophyte","colonial","sph",32,32,NA,0,0.907,25,24,1,"100x",1
"133",2019-08-01,"YBP1","T24","1","chlorophyte","colonial","sph",32,32,NA,0,0.919,26,24,1,"100x",1
"134",2019-08-01,"YBP1","FC","2","chlorophyte","colonial","sph",32,32,NA,0,0.911,26,24,1,"100x",1
"135",2019-08-01,"YBP1","T24","2","chlorophyte","colonial","sph",32,32,NA,0,0.911,25,24,1,"100x",1
"136",2019-08-01,"YBP1","FC","3","chlorophyte","colonial","sph",32,32,NA,0,0.918,27,24,1,"100x",1
"137",2019-08-01,"YBP1","T24","3","chlorophyte","colonial","sph",32,32,NA,0,0.918,25,24,1,"100x",1
"138",2019-07-31,"YBP1","IC","1","chlorophyte","colonial","sph",32,32,NA,0,0.902,26,24,1,"100x",1
"139",2019-07-31,"YBP1","IC","2","chlorophyte","colonial","sph",32,32,NA,0,0.907,25,24,1,"100x",1
"140",2019-07-31,"YBP1","IC","3","chlorophyte","colonial","sph",32,32,NA,0,0.904,25,24,1,"100x",1
"141",2019-08-18,"LSZ2","site","N/A","chlorophyte","colonial","sph",32,32,NA,0,0.902,18,24,1,"100x",1
"142",2019-08-20,"LSZ2","FC","1","chlorophyte","colonial","sph",32,32,NA,1,0.917,25,24,1,"100x",1
"143",2019-08-20,"LSZ2","T24","1","chlorophyte","colonial","sph",32,32,NA,0,0.922,24,24,1,"100x",1
"144",2019-08-20,"LSZ2","FC","2","chlorophyte","colonial","sph",32,32,NA,0,0.912,25,24,1,"100x",0.81
"145",2019-08-20,"LSZ2","T24","2","chlorophyte","colonial","sph",32,32,NA,0,0.914,25,24,1,"100x",1
"146",2019-08-20,"LSZ2","FC","3","chlorophyte","colonial","sph",32,32,NA,0,0.914,25,24,1,"100x",1
"147",2019-08-20,"LSZ2","T24","3","chlorophyte","colonial","sph",32,32,NA,0,0.915,25,24,1,"100x",1
