samp_ev,exp,grp_typ,category,sa,la,wi,tot_ct,bmn_pgml,mn_ct
SJR2,FC,diatom centric,diatom centric 24.5 24.5,24.5,24.5,,50,231,16.7
SJR2,FC,diatom centric,diatom centric 5.5 5.5,5.5,5.5,,381,27,127.0
SJR2,FC,diatom centric,diatom centric 9.5 9.5,9.5,9.5,,172,56,57.3
SJR2,FC,diatom chain,diatom chain 8 80,8,80,,1,8,0.3
SJR2,FC,diatom pennate,diatom pennate 2 12,2,12,2,14,1,4.7
SJR2,FC,diatom pennate,diatom pennate 2 20,2,20,2,125,5,41.7
SJR2,FC,diatom pennate,diatom pennate 4 40,4,40,4,2,2,0.7
SJR2,FC,diatom pennate,diatom pennate 8 168,8,168,8,2,15,0.7
SJR2,FC,diatom pennate,diatom pennate 8 24,8,24,,1,2,0.3
SJR2,FC,diatom pennate,diatom pennate 8 56,8,56,,4,7,1.3
SJR2,FC,diatom pennate fragillaria,diatom pennate fragillaria 24 64,24,64,24,1,44,0.3
SJR2,FC,diatom pennate pleurosigma,diatom pennate pleurosigma 16 64,16,64,16,7,79,2.3
SJR2,FC,diatom pennate pleurosigma,diatom pennate pleurosigma 8 80,8,80,8,3,14,1.0
SJR2,FC,dinoflagellate peridinium,dinoflagellate peridinium 16 16,16,16,16,3,36,1.0
SJR2,FC,dinoflagellate peridinium,dinoflagellate peridinium 20 24,20,24,20,6,152,2.0
SJR2,FC,flagellate cryptomonas,flagellate cryptomonas 16 24,16,24,,15,236,5.0
SJR2,FC,flagellate cryptomonas,flagellate cryptomonas 3.67 5.5,3.67,5.5,,36,3,12.0
SJR2,FC,flagellate cryptomonas,flagellate cryptomonas 6.33 9.5,6.33,9.5,,213,74,71.0
SJR2,FC,flagellate cryptomonas,flagellate cryptomonas 8 24,8,24,,46,96,15.3
SJR2,FC,flagellate cryptomonas,flagellate cryptomonas 9 14,9,14,,127,128,42.3
SJR2,FC,flagellate other,flagellate other 3.67 5.5,3.67,5.5,,822,57,274.0
SJR2,FC,flagellate other,flagellate other 6.33 9.5,6.33,9.5,,77,29,25.7
SJR2,FC,unidentified NA,unidentified NA 12 12,12,12,,6,30,2.0
SJR2,FC,unidentified NA,unidentified NA 32 40,32,40,,1,110,0.3
SJR2,FC,unidentified NA,unidentified NA 6 14,6,14,,7,11,2.3
SJR2,FC,unidentified NA,unidentified NA 8 48,8,48,,2,18,0.7
SJR2,FC,unidentified round,unidentified round 24.5 24.5,24.5,24.5,,7,137,2.3
SJR2,FC,unidentified round,unidentified round 5.5 5.5,5.5,5.5,,277,44,92.3
SJR2,FC,unidentified round,unidentified round 9.5 9.5,9.5,9.5,,53,43,17.7
SJR2,IC,chlorophyte scenedesmus,chlorophyte scenedesmus 16 32,16,32,,2,24,0.7
SJR2,IC,chlorophyte scenedesmus,chlorophyte scenedesmus 4 4,4,4,,8,1,2.7
SJR2,IC,chlorophyte scenedesmus,chlorophyte scenedesmus 6 14,6,14,,9,14,3.0
SJR2,IC,ciliate cone,ciliate cone 24 24,24,24,,133,1328,44.3
SJR2,IC,ciliate cone,ciliate cone 24 40,24,40,,4,206,1.3
SJR2,IC,ciliate oblong,ciliate oblong 12 32,12,32,,1,21,0.3
SJR2,IC,ciliate round,ciliate round 14 14,14,14,,28,115,9.3
SJR2,IC,ciliate round,ciliate round 40 40,40,40,,5,699,1.7
SJR2,IC,ciliate round,ciliate round 5.5 5.5,5.5,5.5,,1,1,0.3
SJR2,IC,ciliate round,ciliate round 9.5 9.5,9.5,9.5,,25,33,8.3
SJR2,IC,cyanobacteria aphanizomenon,cyanobacteria aphanizomenon 8 80,8,80,,80,847,26.7
SJR2,IC,cyanobacteria dolichospermum,cyanobacteria dolichospermum 8 80,8,80,,28,891,9.3
SJR2,IC,diatom centric,diatom centric 14 14,14,14,,56,58,18.7
SJR2,IC,diatom centric,diatom centric 24.5 24.5,24.5,24.5,,78,341,26.0
SJR2,IC,diatom centric,diatom centric 40 40,40,40,,2,131,0.7
